=== START Bayesian search: 2D search ===
Grid size: 861
Initial random evals: 20, Max evals: 100, kappa=1.0
Completed computation for 307 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:100 
Completed computation for 308 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:400 
Completed computation for 309 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:700 
Completed computation for 310 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:400 
Completed computation for 311 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:1000 
Completed computation for 312 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:800 
Completed computation for 313 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:1000 
Completed computation for 314 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:1000 
Completed computation for 315 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:600 
Completed computation for 316 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:400 
Completed computation for 317 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:600 
Completed computation for 318 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:700 
Completed computation for 319 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:1000 
Completed computation for 320 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:700 
