P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
186,4096,700,66,0.291652,0.767727,6.0,0.373913,147273.65596834457,41443.749418267,3.553579442873268,Amdahl
187,512,500,45,0.624476,0.809804,2.0,0.330095,104871.3148261827,36375.8344068812,2.8829940683462163,Amdahl
188,2048,800,97,0.877666,0.546156,6.0,0.465663,246835.9906813696,75138.0359633588,3.285100382471265,Amdahl
189,8192,500,93,0.441353,0.229046,6.0,0.124186,183216.75363477084,65763.30053713672,2.7860030159421183,Amdahl
190,256,300,58,0.498927,0.568496,8.0,0.582033,100521.83317699171,30553.659273315963,3.290009627906745,Amdahl
191,256,300,46,0.741354,0.414512,7.0,0.735342,189632.1233594198,64222.86734208165,2.9527196652455365,Amdahl
192,8192,200,12,0.845326,0.118076,10.0,0.125299,67753.61387368216,23495.806688241137,2.883647059778993,Amdahl
193,128,500,3,0.893572,0.680991,4.0,0.576443,165599.30296410524,60602.38070456751,2.73255441517043,Amdahl
194,128,500,38,0.15137,0.33787,3.0,0.636078,362108.6800861001,128081.28150308842,2.827178771453568,Amdahl
195,128,700,83,0.591571,0.26118,6.0,0.272775,304126.05176704144,86466.88015020516,3.517254829117595,Amdahl
196,256,400,91,0.654566,0.838252,3.0,0.336082,155979.5891777851,57877.59968178526,2.694990636021031,Amdahl
197,4096,800,62,0.727254,0.803596,4.0,0.719382,146281.217175419,55650.40716629138,2.6285740684396037,Amdahl
198,512,800,94,0.317036,0.386954,7.0,0.797791,376315.9302172014,115219.61290483916,3.266075286401143,Amdahl
199,512,800,55,0.706365,0.382068,4.0,0.389507,527268.2416992325,163625.7320994436,3.222404171605387,Amdahl
200,128,800,35,0.551232,0.338544,8.0,0.654431,444301.44185708615,134197.1344837362,3.310811691816955,Amdahl
201,128,400,80,0.119984,0.303838,5.0,0.31317,127592.33378398317,42967.461238325974,2.9695106507752844,Amdahl
202,256,600,15,0.832195,0.109359,8.0,0.114569,246859.34144040197,90831.04944903134,2.7177858555837107,Amdahl
203,256,600,87,0.701721,0.485789,10.0,0.896196,286571.2972280724,87487.82051924868,3.2755564777730664,Amdahl
204,512,200,41,0.721395,0.106057,9.0,0.823169,120005.28482527786,43847.40194160795,2.7368847300255137,Amdahl
205,128,1000,58,0.364897,0.550257,7.0,0.86565,316894.9800083863,122474.4301500923,2.587437880870577,Amdahl
206,2048,700,42,0.233968,0.821963,3.0,0.338724,118848.8842521211,44288.542660440886,2.683513096453239,Amdahl
207,512,400,39,0.365001,0.438371,2.0,0.357296,216326.70357435322,66088.4957980061,3.2732883531732586,Amdahl
208,1024,1000,51,0.555869,0.745138,1.0,0.352455,168415.5350361754,63495.91451677507,2.6523838000897126,Amdahl
209,256,100,46,0.325311,0.799592,4.0,0.318062,56007.776985585115,19852.99277638895,2.821125137978937,Amdahl
210,2048,900,99,0.531782,0.205223,8.0,0.525002,421335.04717142304,92689.21706414742,4.545674896356387,Amdahl
211,4096,900,55,0.633656,0.413141,4.0,0.333687,352844.07157606055,111254.16035053265,3.1715135008375555,Amdahl
212,512,900,20,0.577605,0.764293,1.0,0.259277,197290.91111654733,70503.79592528375,2.7983019712247263,Amdahl
213,1024,100,28,0.887865,0.559718,7.0,0.171747,55810.424307490306,19208.184997211443,2.9055542892570334,Amdahl
214,2048,1000,80,0.654831,0.440754,8.0,0.358147,323980.98975895054,112673.60082060024,2.875393946757728,Amdahl
215,512,900,76,0.749151,0.132192,4.0,0.849332,659470.5503660139,218593.1851166452,3.016885224551299,Amdahl
216,128,700,34,0.540316,0.726719,1.0,0.216357,160595.12703317436,82854.30674378709,1.9382833958141437,Amdahl
217,256,900,70,0.311977,0.384731,2.0,0.7021,735064.3716935305,245963.69160507107,2.9885076406877915,Amdahl
218,512,900,56,0.267938,0.451841,10.0,0.257167,242137.44830284003,70479.52963556291,3.435571286512405,Amdahl
