P,n,Paper,Min Time,Time opt,mtpa
4500,900,463953.6319852049,550545.8516909861,396039.72928379977,1.1714825500568364
2000,1000,1084561.4505889749,1640038.5385208162,1008785.3506498515,1.0751161779761265
2900,200,215830.73075934369,339997.76962654863,154293.44126561526,1.398832827817952
3500,300,248891.78918003483,357247.30103776784,170411.3910135057,1.4605349307917408
3500,500,371726.059405405,644643.4722120359,297935.9010008748,1.2476712546445134
2900,200,216613.4563925992,283123.82575765584,122667.42726123251,1.7658596192068108
4300,600,341061.9081434384,401906.446391863,286055.8032400967,1.1922915189284697
4500,400,254341.38499203773,276470.5159461273,185536.75371554657,1.370840978397079
600,500,1787786.949813904,1875480.2706009906,1654907.390479427,1.080294257007325
3500,300,237858.82737589203,328827.61498330685,180595.0249906225,1.3170840524994694
500,700,2839319.505325235,2924085.717927385,2710834.1461931784,1.047396982700874
2200,900,880587.381262104,1375977.8445010136,824621.5735858364,1.0678684738175142
2900,200,213480.05787465465,222406.12660751113,133312.76758512002,1.6013474308703999
3400,600,415126.12594614853,615940.8505317684,368893.23904042644,1.1253286371579596
2900,200,205575.37488282393,222805.87393612292,136167.13183552006,1.509728317778948
3500,300,250733.21353141105,339030.6305497355,170059.4023062883,1.474386068227053
900,900,2083549.870299236,2247298.8882253203,1947740.1094124508,1.069726838930145
600,500,1827231.8590004612,1809762.369079591,1641901.1237733788,1.112875697899006
2900,200,221128.1984243349,274275.30628090777,149419.2515043904,1.4799177227697293
4100,1000,541230.9632547386,736129.4892074999,481369.24395854236,1.1243571749701395
